country,channel,code
al,Tring Sport 3,TringSport3.al
al,Film Komedi,FilmKomedi.al
al,Tring Tring,TringTring.al
al,Klan TV HD,KlanTVHD.al
al,EXP Natyra,EXPNatyra.al
al,Hayat TV,HayatTV.al
al,Tring Life,TringLife.al
al,Tring Super,TringSuper.al
al,EXP Shkence,EXPShkence.al
al,Tring Comedy,TringComedy.al
al,Nat Geo HD,NatGeoHD.al
al,Tring Sport 4,TringSport4.al
al,ON TV,ONTV.al
al,EXP Histori,EXPHistori.al
al,N-TV,N-TV.al
al,Fox Life,FoxLife.al
al,KTV,KTV.al
al,Bang Bang,BangBang.al
al,Klan Kosova,KlanKosova.al
al,Rrokum TV,RrokumTV.al
al,Tring World,TringWorld.al
al,Film Dy HD,FilmDyHD.al
al,Film Aksion,FilmAksion.al
al,TRING FANTAZI,TringFantazi.al
al,T-HIST,TringHist.al
al,EuroNews,EuroNews.al
al,Tring Shqip,TringShqip.al
al,Tring Sport News,TringSportNews.al
al,Tring Sport 2,TringSport2.al
al,DW,DW.al
al,Film Drame,FilmDrame.al
al,TV Festina,TVFestina.al
al,RTK,RTK.al
al,Tring Sport 1,TringSport1.al
al,RTV 21,RTV21.al
al,Peace TV,PeaceTV.al
al,EuroSport,EuroSport.al
al,Junior TV,JuniorTV.al
al,B92,B92.al
al,News 24,News24.al
al,Ora News,OraNews.al
al,Film Nje HD,FilmNjeHD.al
al,Film Thriller,FilmThriller.al
al,Tring Planet,TringPlanet.al
al,Rrokum HD,RrokumHD.al
al,My Music,MyMusic.al
al,Tring Max,TringMax.al
al,Klan TV,KlanTV.al
al,TV Prizren,TVPrizren.al
al,21 Popullore,21Popullore.al
al,E TV,ETV.al
al,Cufo TV,CufoTV.al
al,21 Junior,21Junior.al
at,ORF eins HD,ORF1.at
at,ATV,ATV.at
at,ProSieben HD,Pro7.at
at,Melodie TV,MelodieTV.at
at,ORF 2 Wien HD,ORF2.at
at,ATV II HD,ATV2.at
at,Servus TV HD,ServusTV.at
at,kabel eins HD,Kabel1.at
at,PULS 4 HD,Puls4.at
at,TELE 5,Tele5.at
at,ORF 2 EUROPA,ORF2europe.at
at,Sixx Austria,SixxAustria.at
at,ORF III HD,ORF3.at
at,SAT.1 HD,Sat1.at
at,ORF Sport+ HD,ORFSport.at
at,W24 HD,W24.at
at,Comedy Central/VIVA HD,ComedyCentral/VIVA.at
at,OKTO,OKTO.at
au,7 flix,7flix.au
au,SBS,SBS.au
au,7food,7foodnetwork.au
au,ONE,ONE.au
au,SBS ONE,SBSONE.au
au,RACING.COM,RACING.COM.au
au,9 HD,9HD.au
au,ABC ME,ABCME.au
au,10 Bold,10Bold.au
au,ABC 1,ABC1.au
au,TEN,TEN.au
au,TVSN,TVSN.au
au,7 TWO,7TWO.au
au,9 LIFE,9LIFE.au
au,9 GEM,9GEM.au
au,Nine,Nine.au
au,NITV,NITV.au
au,SBS Viceland HD,SBSViceland.au
au,SBS FOOD,SBSFOOD.au
au,ABC News 24,ABCNews24.au
au,SpreeTV,SpreeTV.au
au,ABC HD,ABCHD.au
au,7 mate,7mateHD.au
au,Fox Footy Channel,FoxFooty.au
au,9Go!,9Go.au
au,ELEVEN,ELEVEN.au
au,Seven,Seven.au
au,10 Peach,10Peach.au
au,ABC 2/4,ABC2.au
au,Extra,Extra.au
ba,alfa TV,alfatv.ba
ba,BN BIH,BNBIH.ba
ba,K3,K3.ba
ba,BN Music,BNMusic.ba
ba,BN sat,BNsat.ba
ba,Arena Sport 1 BIH,ArenaSport1.ba
ba,RTRS BIH,RTRSBIH.ba
ba,Hayat Folk,HayatFolk.ba
ba,Hayatovci,Hayatovci.ba
ba,TV 1,TV1.ba
ba,Hayat Plus,hayat-plus.ba
ba,RTRS,RTRS.ba
ba,Hayat Music,HayatMusic.ba
ba,TV Duga,Duga.ba
be,VOOsport 1,VOOsport1.be
be,ES1 F,ElevenSports1F.be
be,Kidz RTL,ClubRTL.be
be,ABXplore,ABXplore.be
be,Eurosport 2 BE (nl),Eurosport2.be
be,TVOost,TVoost.be
be,Play Sports HD1,PlaySportsHD1.be
be,Play Sports HD3,PlaySportsHD3.be
be,TV Brussel,TVBrussel.be
be,Vijf,Vijf.be
be,ATV,ATV.be
be,Arte,Arte.be
be,Zes,Zes.be
be,Kadet,Kadet.be
be,Canal Z,CanalZ.be
be,TV Limburg,TVL.be
be,KanaalZ,KanaalZ.be
be,Radio Contact Vision,RadioContactVision.be
be,WTV,WTV.be
be,Sundance HD,SundanceHD.be
be,Be Ciné,BeCine1.be
be,Play More Cinema,PlayMoreCinema.be
be,Discovery HD,DiscoveryHD.be
be,BRF Fernsehen,BRFFernsehen.be
be,Ketnet,Ketnet.be
be,Play Sports HD6,PlaySportsHD6.be
be,Plug RTL,PlugRTL.be
